LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Country full name
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2005,21.25,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2006,21.123322,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2007,20.808235,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2008,20.454546,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2009,20.131868,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.97747,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2011,19.175531,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2012,19.51123,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2013,19.303234,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2014,19.229,Canada
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2015,18.627451,Canada
CZE,WAGEGAP,TOT,PC_MENWAGE,A,1996,18.289856,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,1997,18.429043,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,1999,19.030313,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2001,16.876621,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2002,15.950698,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2003,15.637497,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2004,16.14682,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2005,15.93893,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2006,15.351767,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2007,16.931532,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2008,17.87302,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2009,15.105018,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2010,15.798503,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2011,16.329657,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2012,15.26298,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2013,15.378836,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2014,16.25456,Czech Republic
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2015,16.455154,Czech Republic
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2008,10.183549,Denmark
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2009,10.172005,Denmark
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2010,8.8950987,Denmark
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2011,7.9471974,Denmark
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.999845,Denmark
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2013,6.7689118,Denmark
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1977,27.690401,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1978,27.088608,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1979,27.168949,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1980,26.623819,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1982,25.961538,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1983,25.631742,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1984,23.427042,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1986,22.53142,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1987,23.612841,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1988,23.045794,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1989,23.559036,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1990,22.862103,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1991,21.467747,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1992,20.284986,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1993,21.984812,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1994,23.149578,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1995,22.402195,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1996,20.58267,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1997,21.332012,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1998,20.800426,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1999,21.716236,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2000,20.427488,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2001,21.239092,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2002,20.373203,Finland
